client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
7606c9e1bbfc6ce41565a075ca737ceeeb5037f5a0407f904046eba8e068ed953726ee39fcaddf9789fb2b560e82cd46a31e367cc95e3586ed76e08cd265c190	common_voice_vi_23847390.mp3	01a12af2d8eea06d0559636599dab1170263a04f09fca7a21abe7a23e5e011c5	Ni đi theo lúc này cô mới nhanh chóng đóng sầm cửa lại		1	1	teens	male_masculine			vi	
61a3bdce724f826cd1b2381b019e286fc7dfc0db75b8068c2cec5b0f7eb69302c94763414411c2d574fe4362f33f179ee99bc3de2d7c148879c582574bbb274e	common_voice_vi_23847779.mp3	0deef0cca45773ba99fbd14c5d9fcb2358af479cb23dad32aaf786f124a2fb0a	Đúng rồi mày à		1	1					vi	
61a3bdce724f826cd1b2381b019e286fc7dfc0db75b8068c2cec5b0f7eb69302c94763414411c2d574fe4362f33f179ee99bc3de2d7c148879c582574bbb274e	common_voice_vi_23847782.mp3	34591b8a0c99fe3fd2f17e3654f405d6a0fecab0d87d0f61db83ba4c151e17f5	Lòng người hiểm sâu thước nào đo được		1	1					vi	
61a3bdce724f826cd1b2381b019e286fc7dfc0db75b8068c2cec5b0f7eb69302c94763414411c2d574fe4362f33f179ee99bc3de2d7c148879c582574bbb274e	common_voice_vi_23847783.mp3	1b8836cfb2a62be9c4e2e2221fcce36a776b6422057cd159e4bf293419d4d840	A Hội cầm lấy bao thuốc của tôi		1	1					vi	
c44e0fee41f88045a040f1ffc8930be3c2a1bcc6f198f57894db86aa8147d18693913aa1b0e55ba98a4ff99f67a407665fad1c1898c03a07422833c6a8356cc2	common_voice_vi_23848856.mp3	33d915b5ab9b815f62ffca05a97a7ad79f0aa06a27bc8664f04dcff13fd871ac	Có phải mẹ không ạ		1	1	twenties	male_masculine			vi	
c44e0fee41f88045a040f1ffc8930be3c2a1bcc6f198f57894db86aa8147d18693913aa1b0e55ba98a4ff99f67a407665fad1c1898c03a07422833c6a8356cc2	common_voice_vi_23848864.mp3	1e72b1a718fbc4ef0f2e1db7178d97dbe44181cbeb296e848c152e3d92ecc90c	Anh chàng bị thương vẫn không lên một tiếng		1	1	twenties	male_masculine			vi	
c44e0fee41f88045a040f1ffc8930be3c2a1bcc6f198f57894db86aa8147d18693913aa1b0e55ba98a4ff99f67a407665fad1c1898c03a07422833c6a8356cc2	common_voice_vi_23848878.mp3	11b5639f2ee20f48f7c86e9c89c3b2fb030e7b48c8f129dca76df2fe4a0d10db	Anh phải sống phải tiếp tục sống hạnh phúc		1	0	twenties	male_masculine			vi	
c44e0fee41f88045a040f1ffc8930be3c2a1bcc6f198f57894db86aa8147d18693913aa1b0e55ba98a4ff99f67a407665fad1c1898c03a07422833c6a8356cc2	common_voice_vi_23848891.mp3	1fee90531214cdfb6421e4a9962d0b3d896870d6d9ea2594a85b6414c3b053e1	Tao đang ở đây mà mày nghĩ đến trai à		1	1	twenties	male_masculine			vi	
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901473.mp3	2ff536cf15a7868c1914d879ddfd8c459bc500ac53ce99b3477ec91affc22796	sự sợ hãi		1	0	sixties	male_masculine			vi	
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901514.mp3	3704f93776b9352f92edaaac0db608e8e62a1219e2aea4452d0f844999da4992	Vẫn chưa thấy được		0	0	sixties	male_masculine			vi	
