sentence_id	sentence	locale	reason
1c4797e6ffe51f8eca622d733a9b6e048f6029268e70141e9f64ad2c06da3f7f	Bởi vì họ cũng bị chẻ mắt	vi	grammar-or-spelling
286d0599e1c95b8e9583bdcf348b6ad6f6a1b8bd79b13599c059a92286d94e60	máu mê bắn bét loang nổ cả một vùng đất	vi	grammar-or-spelling
43b481c6d74a557a7d0207ec9d71c48e1d263b40232862c8268b88c6404d5c4f	Thu về cho cô không ít tiền bạc mối quan hệ tốt	vi	grammar-or-spelling
286d0599e1c95b8e9583bdcf348b6ad6f6a1b8bd79b13599c059a92286d94e60	máu mê bắn bét loang nổ cả một vùng đất	vi	grammar-or-spelling
286d0599e1c95b8e9583bdcf348b6ad6f6a1b8bd79b13599c059a92286d94e60	máu mê bắn bét loang nổ cả một vùng đất	vi	grammar-or-spelling
3d0630dc41127ac58136d30dcd4c38d71ee7db4f3b568361b1b5de0ab61e8db5	Váy trời ban phước	vi	grammar-or-spelling
5ca477099ee57d8eabdf7fc8e56a0fe97adfcd359e682b8f65c0a57c4290c536	Nhớ nhà thửa nhỏ	vi	grammar-or-spelling
58af8db99d8d8c429606ba5f006ef3eb5229b0ea660da91c644349879fe228fd	Trinh bội vàng lại xem	vi	grammar-or-spelling
4a649cab23d7e983460353596dd7c082ac928204d2209680297b8c611ecdb0ff	Bố mẹ của Pương cũng như Trinh cùng bạn bè giật mình hốt hoảng	vi	grammar-or-spelling
689ec582f9105b6bb0f4f27b5b13d773b2ce4095ef1573539ed8cd1708bee50c	Bố mẹ của Phương lao lại ôm nghiềm lấy con	vi	grammar-or-spelling
51f9c7778a91ddf01653ac2796bc0c94f3150697714408f38b0259e05cce4ac8	hay là để tamj xe ở đây rồi tao chở mày về	vi	grammar-or-spelling
72175b75c50c65df7c3215e59b60c7413f1a46731954b42b37e652ba52db6b81	Quần đax mất tất cả chán chường tuyệt vọng	vi	grammar-or-spelling
72175b75c50c65df7c3215e59b60c7413f1a46731954b42b37e652ba52db6b81	Quần đax mất tất cả chán chường tuyệt vọng	vi	grammar-or-spelling
5b139c0f5c22133d762cde0192688f82fb7a20f016ea0565d12c6f14809c37c7	nhung bai tho hay nhat moi thoi dai	vi	grammar-or-spelling
4a649cab23d7e983460353596dd7c082ac928204d2209680297b8c611ecdb0ff	Bố mẹ của Pương cũng như Trinh cùng bạn bè giật mình hốt hoảng	vi	grammar-or-spelling
881fd7d72280174b0694379cad071d76ce02f87ad51bc238a677395788dfbd01	Cách đây tâm hai năm còm đi làm tật mặt ra ây chứ	vi	grammar-or-spelling
51f9c7778a91ddf01653ac2796bc0c94f3150697714408f38b0259e05cce4ac8	hay là để tamj xe ở đây rồi tao chở mày về	vi	grammar-or-spelling
72175b75c50c65df7c3215e59b60c7413f1a46731954b42b37e652ba52db6b81	Quần đax mất tất cả chán chường tuyệt vọng	vi	grammar-or-spelling
8fbe1fd4fe53021fb8a271ff61be910cb985d728a9d1d9d738f6ca652410889d	Triinh lập tức nghĩ ngay đến hai người bạn của mình	vi	grammar-or-spelling
3d0630dc41127ac58136d30dcd4c38d71ee7db4f3b568361b1b5de0ab61e8db5	Váy trời ban phước	vi	grammar-or-spelling
5b139c0f5c22133d762cde0192688f82fb7a20f016ea0565d12c6f14809c37c7	nhung bai tho hay nhat moi thoi dai	vi	grammar-or-spelling
aaba80834cb38c960d8b340331567f589ca9c20903dd0f5c52abceaed47aacf9	xe nó nghiếm cho nát hết rồi	vi	grammar-or-spelling
aaba80834cb38c960d8b340331567f589ca9c20903dd0f5c52abceaed47aacf9	xe nó nghiếm cho nát hết rồi	vi	grammar-or-spelling
4a649cab23d7e983460353596dd7c082ac928204d2209680297b8c611ecdb0ff	Bố mẹ của Pương cũng như Trinh cùng bạn bè giật mình hốt hoảng	vi	grammar-or-spelling
881fd7d72280174b0694379cad071d76ce02f87ad51bc238a677395788dfbd01	Cách đây tâm hai năm còm đi làm tật mặt ra ây chứ	vi	grammar-or-spelling
b2fc7bc60c364aaca524ab19980ead27f9b724e4d2e188587ef7d7145d25e3a8	rồi bố xẽ cho thêm tiền	vi	grammar-or-spelling
51f9c7778a91ddf01653ac2796bc0c94f3150697714408f38b0259e05cce4ac8	hay là để tamj xe ở đây rồi tao chở mày về	vi	grammar-or-spelling
72175b75c50c65df7c3215e59b60c7413f1a46731954b42b37e652ba52db6b81	Quần đax mất tất cả chán chường tuyệt vọng	vi	grammar-or-spelling
89fe2d55f21787b20b7ee15a6fc4e4e23404533642dca8181ada39d4e690ae4a	Bằng chứng đó là shop quần áo mà trinhmở ra	vi	grammar-or-spelling
689ec582f9105b6bb0f4f27b5b13d773b2ce4095ef1573539ed8cd1708bee50c	Bố mẹ của Phương lao lại ôm nghiềm lấy con	vi	grammar-or-spelling
b2fc7bc60c364aaca524ab19980ead27f9b724e4d2e188587ef7d7145d25e3a8	rồi bố xẽ cho thêm tiền	vi	grammar-or-spelling
be246361fb9af59f3246eef9c07346a9175b9fb802f08910baf02211f0adc9d2	Chắc có lẽ chiếc xe phải nghiếm qua người cô ta một đoạn	vi	grammar-or-spelling
51f9c7778a91ddf01653ac2796bc0c94f3150697714408f38b0259e05cce4ac8	hay là để tamj xe ở đây rồi tao chở mày về	vi	grammar-or-spelling
b2fc7bc60c364aaca524ab19980ead27f9b724e4d2e188587ef7d7145d25e3a8	rồi bố xẽ cho thêm tiền	vi	grammar-or-spelling
51f9c7778a91ddf01653ac2796bc0c94f3150697714408f38b0259e05cce4ac8	hay là để tamj xe ở đây rồi tao chở mày về	vi	grammar-or-spelling
72175b75c50c65df7c3215e59b60c7413f1a46731954b42b37e652ba52db6b81	Quần đax mất tất cả chán chường tuyệt vọng	vi	different-language
72175b75c50c65df7c3215e59b60c7413f1a46731954b42b37e652ba52db6b81	Quần đax mất tất cả chán chường tuyệt vọng	vi	grammar-or-spelling
b2fc7bc60c364aaca524ab19980ead27f9b724e4d2e188587ef7d7145d25e3a8	rồi bố xẽ cho thêm tiền	vi	grammar-or-spelling
cfff913a272afde28e42931b32c58d3953222e42f88dfae7b185d00d67a1a904	Trấn thương sau tai nạn khiến cho bệnh nhân bị tổn hại não	vi	grammar-or-spelling
b2fc7bc60c364aaca524ab19980ead27f9b724e4d2e188587ef7d7145d25e3a8	rồi bố xẽ cho thêm tiền	vi	grammar-or-spelling
5b139c0f5c22133d762cde0192688f82fb7a20f016ea0565d12c6f14809c37c7	nhung bai tho hay nhat moi thoi dai	vi	grammar-or-spelling
c4d1c7a3eb977f5f800034050ab83196b05b5b091ebb90c588d65cbf451f1f9b	tháy nó vào định lại chòa nhưng sau khi thấy ông chồng của Trinh	vi	grammar-or-spelling
dfb8a975f681ad0a31c71fc3172e28c20903809fe7d881755695fb484b8b4abe	Nó còn dân tao lên phòng thờ Kuman của nó mà	vi	grammar-or-spelling
